Store No.,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,Phone,Fax,Open Hours,URL,Provider,Updated Date,Country,Status,Direction URL,Stock Ticker,Photo Reference,
2,Northwell Labs - Bethpage,40.72619,-73.48908,"166 Hicksville Road Bethpage, NY 11714",,,NY,,,(516) 520-2978,(516) 520-6638,"Mon-Wed-Thurs-Fri 7am–5pm, Tues 7am–7pm, Sat 7am–1pm",,,,,,,,,
3,Northwell Labs - Cedarhurst,40.62504,-73.71921,"674 Central Ave. Cedarhurst, NY 11516",,,NY,,,(516) 881-7448,(516) 881-7451,"Mon-Tues-Wed 7am–4pm, Thurs 7am–7pm, Fri 7am–3pm, Sat 8am–12pm, Sun 7am–1pm",,,,,,,,,
4,Northwell Labs - Garden City,40.73481,-73.60197,"877 Stewart Ave., Ste. 15 Garden City, NY 11530",,,NY,,,(516) 280-3690,(516) 280-3692,"Mon-Tues-Wed-Fri 7am–4pm Thurs 7am–7pm, Sat 7am–1pm",,,,,,,,,
5,Northwell Labs - Glen Cove,40.87406,-73.62318,"10 Medical Plaza, Ste. 104 Glen Cove, NY 11542",,,NY,,,(516) 674-7906,(516) 674-1888,Mon 7am–7pm Tues-Fri 7am–4pm Sat 7am–1pm,,,,,,,,,
6,Northwell Labs - Great Neck,40.78453,-73.71086,"800 Northern Blvd. Ste. 5 Great Neck, NY 11021",,,NY,,,(516) 869-8462,(516) 869-8465,"Mon-Fri 7am–5pm, Sat 7am–1pm",,,,,,,,,
7,Northwell Labs - Lake Success,40.75889,-73.70753,"1983 Marcus Ave., Ste. E134 Lake Success, NY 11042",,,NY,,,(516) 439-5640,(516) 439-5641,Mon-Wed–Thurs-Fri 8am–4pm Tues 8am–8pm,,,,,,,,,
8,Northwell Labs - Massapequa,40.6670615,-73.4455976,"5165 Merrick Road Massapequa, NY 11762",,,NY,,,(516) 858-2798,(516) 858-4103,Mon-Fri 8am–8pm Sat & Sun 9am–5pm,,,,,,,,,
9,Northwell Labs - Plainview,40.78543091,-73.50334167,"377 S. Oyster Bay Road Plainview, NY 11803",,,NY,,,(516) 858-4126,(516) 473-0759,Mon-Fri 8am–8pm Sat & Sun 9am–5pm,,,,,,,,,
10,Northwell Labs - Syosset,40.81027985,-73.50453186,"175 Jericho Tpke., Ste 304 Syosset, NY 11791",,,NY,,,(516) 802-3380,(516) 802-3382,Mon 6am–7pm Tues-Fri 6am–4pm Sat 6am–1pm,,,,,,,,,
11,Northwell Labs - Babylon,40.6917697,-73.3347627,"400 West Main Street, Ste 106 Babylon, NY 11702",,,NY,,,(631) 620-3296,(631) 620-3299,Mon-Fri 7am–3pm Sat 7am–1pm,,,,,,,,,
12,Northwell Labs - Bay Shore,40.72239,-73.246838,"180 E Main Street, 1st Floor Bay Shore, NY 11706",,,NY,,,(631) 206-1030,(631) 206-1051,"Mon-Tues-Thurs-Fri 6am–4pm, Wed 6am–7pm, Sat 6am–1pm",,,,,,,,,
13,Northwell Labs - Huntington,40.8812677,-73.3976684,"195 East Main Street Huntington, NY 11743",,,NY,,,(631) 683-5410,(631) 683-5413,"Mon- Fri 7am–3pm, Sat 7am–1pm",,,,,,,,,
14,Northwell Labs - Huntington Station,40.854111,-73.394848,"180 East Pulaski Road, West Wing (Lower Level) Ste. B Huntington Station, NY 11746",,,NY,,,(631) 923-2750,(631) 923-2753,"Mon-Fri 7am–5pm, Sat 8am–1pm",,,,,,,,,
15,Northwell Labs - Melville,40.7664112,-73.4251053,"1895 Walt Whitman Rd, Ste. 3 Melville, NY 11747",,,NY,,,(631) 393-2838,(631) 393-2841,Mon-Sat 7am–1pm,,,,,,,,,
16,Northwell Labs - Patchogue,40.7809665,-72.9723481,"285 Sills Road, Building 10 Ste. B, Patchogue, NY 11772",,,NY,,,(631)569-2905,(631) 393-2971,"Mon-Fri 6am–4pm, Sat 6am–1pm",,,,,,,,,
17,Northwell Labs - Smithtown,40.841482,-73.190122,"222 Middle Country Road,Ste.203 Smithtown, NY 11787",,,NY,,,(631) 724-3516,(631) 724-3677,"Mon-Fri 6am–6pm, Sat 6am–1pm",,,,,,,,,
18,Northwell Labs - Bayside,40.7645512,-73.771482,"23-91 Bell Blvd, Bayside, NY 11361",,,NY,,,(718) 631-4930,(718) 767-5587,"Mon-Tues-Wed-Fri 7am-4pm Thurs 7am-7pm, Sat 7am-1pm",,,,,,,,,
19,Northwell Labs - Forest Hills,40.725618,-73.851027,"102-29 Queens Blvd Forest Hills, NY 11375",,,NY,,,(516) 858-3723,(718) 619-8284,Mon-Fri 8am–8pm Sat & Sun 9am–5pm,,,,,,,,,
20,Northwell Labs - Rego Park,40.7311596,-73.864197,"95-25 Queens Blvd. Rego Park, NY 11374",,,NY,,,(718) 925-6530,(718) 925-6536,"Mon-Fri 8am–4pm, Sat 7am–1pm",,,,,,,,,
21,Northwell Labs - 20 E 46th St,40.75569534,-73.9782486,"20 E 46th Street, Ste 401 New York, NY 10017",,,NY,,,(646) 864-2191,(646) 864-2234,Mon-Fri 7am–4pm,,,,,,,,,
22,Northwell Labs - 110 E 59th St,40.7623775,-73.9694454,"110 E. 59th Street (10 Floor), Between Park & Lexington Ave. New York, NY 10022",,,NY,,,(646) 368-1472,(646) 370-1092,"Mon-Fri 7am–4pm, Closed for lunch 12pm–1pm",,,,,,,,,
23,Northwell Labs - 170 E 77th St,40.77462769,-73.96221161,"170 East 77th Street, New York, NY 10075",,,NY,,,(646) 590-0495,(646) 590-9219,"Mon-Fri 6:30am-6pm, Sat -Sun 7am-1pm",,,,,,,,,
Z11,Empire City Labs - 49th Street,40.6493109,-74.017523,"229 49th St, Brooklyn, NY 11220",229 49th St,Brooklyn,NY,11220,Kings,718-788-3840,718-788-3871,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,,,,
Z13,Empire City Labs - 58th Street,40.6362301,-74.0095446,"833 58th St, Brooklyn, NY 11220",833 58th St,Brooklyn,NY,11220,Kings,718-853-3081,347-227-0304,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-3:00pm,,,,
Z35,Empire City Labs - 56th Street,40.6382768,-74.0098339,"763 56th Street b100, Brooklyn, NY 11220",763 56th Street b100,Brooklyn,NY,11220,Kings,718-362-6089,718-504-7815,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-3:00pm,,,,
Z22,Empire City Labs - Pearl Street,40.6920493,-73.9902567,"395 Pearl Street Suite 202, Brooklyn, NY 11202",395 Pearl Street Suite 202,Brooklyn,NY,11202,Kings,718-260-9060,718-260-9070,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,,,,,
Z12,Empire City Labs - West 185th Street,40.8522206,-73.9349403,"629 West 185th St, New York, NY 10033",629 West 185th St,New York,NY,10033,New York,212-740-1849,646-478-9106,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-1:00pm,,,,
Z15,Empire City Labs - Grand Street,40.7186792,-73.9982994,"217 Grand Street Suite, New York, NY 10013",217 Grand Street Suite,New York,NY,10013,New York,212-343-3045,212-343-3044,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,,8:00am-5:00pm,,,,
Z18,Empire City Labs - Flushing,40.7544817,-73.8299606,"136-21 Franklin Ave 3C-2, Flushing, NY 11355",136-21 Franklin Ave 3C-2,Flushing,NY,11355,Queens,718-886-1662,718-886-1170,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,,8:00am-5:00pm,8:00am-5:00pm,,,,
Z25,Empire City Labs - WPR,40.9065156,-73.8510744,"5626 White Plains Road Suite 100, Bronx, NY 10470",5626 White Plains Road Suite 100,Bronx,NY,10470,Bronx,718-655-5550,718-655-5560,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-7:00pm,8:00am-5:00pm,,,,,
Z30,Empire City Labs - Webster,40.8297585,-73.912164,"1108 Brooke Ave, Bronx, NY 10456",1108 Brooke Ave,Bronx,NY,10456,Bronx,347-269-8109,718-293-2860,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,,,,,
Z16,Empire City Labs - Haverstraw,41.1952563,-73.9712565,"90 New Main Street, Haverstraw, NY 10927",90 New Main Street,Haverstraw,NY,10927,Rockland,845-429-9009,845-429-9011,8:00am-5:00pm,8:00am-5:00pm,8:00am-1:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-3:00pm,,,,
Z21,Empire City Labs - Medplex Building,26.3628635,-80.1306535,"5458 Town Center Rd Suite 4, Boca Raton, FL 33486",5458 Town Center Rd Suite 4,Boca Raton,FL,33486,Palm Beach,561-923-9952,561-465-3756,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,,,,,
49,Northwell Labs - Tarrytown,41.07885,-73.857681,"701 N Broadway, Tarrytown, NY 10591",,,NY,10591,Tarrytown,,,,,,,,,,,,